,k2=600,,,,,,k2=900,,,,,
,LS,LAV,SVR,MLP,AsyLAV,AsySVR,LS,LAV,SVR,MLP,AsyLAV,AsySVR
62,-59.43350588,-86.29383417,-61.1730405,25.18005867,237.6617486,232.3735635,-59.43350588,-86.29383417,-61.1730405,25.18005867,307.7565208,293.3357478
63,105.0879747,98.80320376,55.39138767,50.76307541,448.6381723,441.1871171,105.0879747,98.80320376,55.39138767,50.76307541,518.5468754,502.1758225
64,77.42047331,3.453297373,69.9212125,56.66857682,335.3858807,325.4392799,77.42047331,3.453297373,69.9212125,56.66857682,409.3529915,397.0196386
65,220.2208999,194.0975344,187.2865023,135.0288142,571.2208448,561.9940757,220.2208999,194.0975344,187.2865023,135.0288142,654.6118205,644.2912918
66,60.39819723,66.15954389,77.98377749,121.0257739,421.9646855,412.6918404,60.39819723,66.15954389,77.98377749,121.0257739,499.6693338,491.856929
67,76.51582091,5.596287023,50.38730591,97.06120841,353.2655983,346.2461075,76.51582091,5.596287023,50.38730591,97.06120841,431.7552476,430.9459491
68,-48.95974017,-82.79108488,-61.57585125,16.34083461,238.709898,235.541377,-48.95974017,-82.79108488,-61.57585125,16.34083461,300.7439464,294.1476583
69,-93.85779453,-83.91093609,-98.80530752,-98.16237628,121.2695084,128.9307413,-93.85779453,-83.91093609,-98.80530752,-98.16237628,176.4697137,161.7635733
70,-64.06444632,-67.03792438,-41.12554162,-81.44830994,147.8772909,155.4017585,-64.06444632,-67.03792438,-41.12554162,-81.44830994,196.5973978,188.4299833
71,-104.9253647,-141.4570968,-129.373328,-68.68395809,118.5633345,121.3643246,-104.9253647,-141.4570968,-129.373328,-68.68395809,173.169096,181.7131765
72,-2.747058857,-20.64073751,-33.36763572,-27.48013677,235.4157273,231.6271674,-2.747058857,-20.64073751,-33.36763572,-27.48013677,289.1015364,307.7827859
73,66.76270291,20.63449472,41.74823367,101.5236729,311.9424527,303.8269267,66.76270291,20.63449472,41.74823367,101.5236729,350.791256,366.200045
74,-17.60649118,-20.51296445,0.39463119,209.4453865,237.6248615,232.3449893,-17.60649118,-20.51296445,0.39463119,209.4453865,267.8696865,272.302587
75,-51.82753366,-34.15491245,-36.43904935,91.6247716,194.9370722,191.2893834,-51.82753366,-34.15491245,-36.43904935,91.6247716,220.5013134,219.9754217
76,-26.85340733,-36.15014628,-4.338304206,94.84420931,176.1417141,171.9676078,-26.85340733,-36.15014628,-4.338304206,94.84420931,193.0083376,195.8539032
77,-262.9756988,-239.733498,-262.5806465,43.6507197,-37.6874031,-40.88479528,-262.9756988,-239.733498,-262.5806465,43.6507197,-24.59310607,-23.19077769
78,-379.3786468,-372.6050194,-381.026311,-92.95246628,-183.6573448,-187.3213582,-379.3786468,-372.6050194,-381.026311,-92.95246628,-163.2309382,-155.0270185
79,-217.4360648,-204.2476912,-234.1089866,-164.3616765,-23.96606872,-26.11705837,-217.4360648,-204.2476912,-234.1089866,-164.3616765,-0.859304285,7.294944955
80,-201.3222717,-240.921653,-220.4975127,-209.3937792,19.43401202,10.63988863,-201.3222717,-240.921653,-220.4975127,-209.3937792,52.28739097,75.6535176
81,-158.8592078,-156.2113671,-169.2876228,-107.9489134,123.5445374,115.413852,-158.8592078,-156.2113671,-169.2876228,-107.9489134,161.9985696,186.2551467
82,-83.35259229,-143.2474967,-91.48759756,-104.9938177,203.872641,191.0743445,-83.35259229,-143.2474967,-91.48759756,-104.9938177,243.5936353,271.8009585
83,94.04807203,80.90934166,76.6667872,-31.37452678,388.156399,380.4199897,94.04807203,80.90934166,76.6667872,-31.37452678,422.8477753,444.8666673
84,352.9435326,320.3187789,337.2279225,122.7990941,601.0461109,598.1225269,352.9435326,320.3187789,337.2279225,122.7990941,634.7338785,653.9834344
85,95.72362475,122.4491706,155.0715002,75.97325204,330.2908378,341.3644481,95.72362475,122.4491706,155.0715002,75.97325204,357.580487,367.1077761
